nodes;state
AGT_F2R_complex;1
CCL2;1
CCL2_CCR2_complex;1
CCL4_5_CCR5_complex;1
CCL4_TH1___extracellular_space;1
CCL4_TH1___secreted_components;1
CCL5_TH1___extracellular_space;1
CCL5_TH1___secreted_components;1
CCR5;1
CXCL10_CXCR3_complex;1
CXCL10_TH1___extracellular_space;1
CXCL10_TH1___secreted_components;1
CXCL16;1
CXCL16_CXCR6_complex;1
EOMES;1
FGR;1
HLA_DP_DQ_DR_LAG3_complex;1
HLA_DP_DQ_DR_TCR_CD3_complex;1
IFNG_IFNGR1_IFNGR2_complex;1
IFNg_TH1___extracellular_space;1
IFNg_TH1___secreted_components;1
IFNGR1_IFNGR2_complex;1
IL10_IL10RA_IL10RB_complex;1
IL12_TH1___extracellular_space;1
IL12_TH1___secreted_components;1
IL12Rb1_IL12Rb2_complex;1
IL12Rb1_IL12Rb2_IL12_complex;1
IL18R1_IL18RAP_complex;1
IL27;1
IL27_IL27RA_complex;1
IL9R_IL2RG_IL9_complex;1
LGALS9;1
MIF_CD74_complex;1
RUNX3;1
SEMA4D;1
STAT1;1
STAT1_STAT1_complex;1
STAT4;1
STAT4_STAT4_complex;1
tbx21;1
tbx21_phosphorylated;1
TNFSF4;1
TNFSF4_TNFRSF4_complex;1
VCAM1_ITGA4_ITGB7_complex;1
AGT;1
AKT1;1
apoptosis_TH1_phenotype;0
ARHGEF2;1
BCL2L11;0
CD28_CD86_complex;0,5
CD32b_igG_complex;0
CD84_CD84_complex;0,5
Cell_chemotaxis_migration_TH1_phenotype;1
COL4A3_ITGA4_ITGB7_complex;0,5
CREB1_phosphorylated;1
GAS6;0,5
gas6_mertk_complex;0,5
GNA12_GNA13_complex;1
GNAI_GNB_GNG_complex;1
GNAI_TH1___cytoplasm;1
GNAI_TH1___cytoplasm_active;1
GNB_GNG_complex;1
GRB2;1
icoslg_icos_complex;0,5
igG;0
IKK_complex;1
IL18_IL18R1_IL18RAP_complex;1
IL18_TH1___extracellular_space;1
IL18_TH1___secreted_components;1
IL7_IL7R_IL2RG_complex;0,5
IRAK1_IRAK4_complex;1
JAK1_JAK2_complex;1
JAK1_JAK2_TYK2_complex;1
JAK1_JAK3_complex;1
JAK1_TYK2_complex;0,5
JAK2_TYK2_complex;1
KRAS;1
LAT_phosphorylated;0
LGALS9_TIM3_complex;0
LTA_TH1___extracellular_space;0
LTA_TH1___secreted_components;0
LTA_TNFRSF14_complex;0
lyn;1
MAP2K1_phosphorylated;1
MAPK1_phosphorylated;1
MIF;1
mtor;1
MYD88;1
NFKB1_RELA_complex_TH1___cytoplasm;1
NFKB1_RELA_complex_TH1___nucleus;1
NFKB1_RELA_NFKBIA_complex;1
NIK;1
PDCD1;1
PI3K_phosphorylated;1
PLCG1;1
PLXNB1;1
PRKCQ;1
proliferation_survival_TH1_phenotype;1
PTK2;1
Rac1;0
RAF1;1
RHOA;1
RPS6KA4;1
SEMA4_PLXNB1_complex;0,75
SEMA4A_TH1___extracellular_space;0,5
SEMA4A_TH1___secreted_components;0,5
SH2D1A;0,5
SHC1_phosphorylated;1
SHIP1;0
SOS1;1
Src;1
TNF;1
TNF_TNFRSF1B_complex;1
TNFA;1
TRAF1_TRAF2_TRAF3_complex;1
TRAF2_TRAF5_complex;0
TRAF2_TRAF5_TRAF6_complex;1
TRAF6_phosphorylated;1
VAV1;0
ZAP70;0
