node;value
ADCY8;0
AREG;1
ARHGEF2;1
BAX_Fibroblast___Mitochondrion;0
BCL2;1
BCL2L1_rna;1
BCL2L11_Fibroblast___Cytoplasm;0
BID;0
CASP3;0
CCL18;1
CCL2_Fibroblast___secreted_components;1
CCL5_Fibroblast___secreted_components;1
CCR2_CCL2_complex;1
CCL5_CCR5_complex;1
LBP_CD14_complex;1
CD40;1
CFLAR_Fibroblast___Cytoplasm;1
cGAS;1
COMP;1
CRKL_phosphorylated;0
CSF2_Fibroblast___Extracellular_Space;1
CSF2RA_CSF2RB_complex;1
CSF2RA_CSF2RB_complex;1
CSK;1
CXCL10_Fibroblast___Extracellular_Space;1
CXCL13;1
CXCL8_Fibroblast___Extracellular_Space;1
CXCR2_CXCL8_complex;1
CXCL10_CXCR3_complex;1
MIF_CXCR4_complex;1
CYCS;0
FN1_Fibroblast___secreted_components;0
EDA;1
EGF;1
EGFR;1
GAB2_phosphorylated;0
FAS_FASL_complex;1
FASLG ;1
FGF1;1
FGF1_FGFR4_complex;1
IGF1_IGF1R_complex;0
FOS;1
FOXO1;0
WNT_FRIZZLED_complex;1
FN1_ITGAV_complex;0
VEGFR_NRP1_complex;0
HBEGF;1
ICAM1;1
IFNb1;1
IFNG_IFNGR1_R2_complex;1
IGF1;0
RHOA;0
IL10;1
IL10RA_IL10RB_IL10_complex;1
IL10RA_IL10RB_IL10_complex;1
IL17A_Fibroblast___secreted_components;1
IL18_Fibroblast___secreted_components;1
IL18_IL18R_complex;1
IL1A;1
IL1B_Fibroblast___secreted_components;1
DUSP7;1
IL6_Fibroblast___secreted_components;1
IRAK4_Fibroblast___Cytoplasm;1
IRF5_Fibroblast___Cytoplasm;1
EPHB2;1
GAB1;1
IL1R1;1
JUN_phosphorylated;1
LY96;1
MAP2K3_phosphorylated;1
MAP2K4_phosphorylated;1
MAP2K6_phosphorylated;1
MAP2K7_phosphorylated;1
MAP3K1_phosphorylated;1
ITGA4_ITGB1_complex;1
MCL1;1
MDM2;1
MIF;1
MIR146A_rna;0
MIR192_rna;0
MIR650_rna;0
MMP1;1
MMP13;1
MMP3;1
NFAT5_phosphorylated;1
NFKB_complex;1
ITGA5_ITGB1_col4a5_complex;1
TP53_phosphorylated;1
PDGFC;1
PDGFC_PDGFRB_complex;1
PITPNM3_CCL18_complex;1
MAP4K4_phosphorylated;1
PTPN11_phosphorylated;1
PLXNB1_MET_sema4a_complex;1
NECTIN3_PTPRC_NECTIN1_complex;1
RANK_RANKL_complex;1
RAC1_2;1
RIPK1;1
PLXNB1_MET_sema4a_complex;1
ITGA4_ITGB1_sema7a_complex;1
SOCS3;1
SRC_phosphorylated;1
sst;0
sst_sstr_complex;0
STAT1_Fibroblast___Cytoplasm;1
STAT3_Fibroblast___Cytoplasm;1
TAB1_TAB2_complex;1
TBK1_IKBKE_complex;1
TCF_LEF;1
TGFb1;1
TGFB1_TGFBR1_complex;1
TIRAP;1
LY96_TLR2_4_complex;1
LY96_TLR2_4_complex;1
TLR5;1
TNF_Fibroblast___secreted_components;1
TNF_TNFRSF1A_B_complex;1
TRADD;1
TRAF2;1
TRAF6;1
TXK;1
VAV1_2_3_phosphorylated;1
VEGFa_Fibroblast___secreted_components;1
WNT5A;1
YY1;1
